pgrid 	 psihatexact+_real 	 psihatexact+_imag 	              psihatguess+_real 	 psihatguess+_imag 
-8.416860160786042400e+01	-2.115904251530505045e-14	-5.777228445907900023e-14	1.210928588871207581e-13	-3.330087306763083272e-14
-8.415813027150711889e+01	1.968795182737588302e-14	-5.963068343796587231e-14	1.196947525155856498e-13	5.062629995203125361e-14
-8.414765893515381379e+01	4.901325624378955989e-14	-3.601507271260295030e-14	6.058687427101695526e-14	1.126490696585965330e-13
-8.413718759880050868e+01	6.083601185765550967e-14	4.227590483597026305e-15	-1.671408289135036647e-14	1.275054763494574652e-13
-8.412671626244720358e+01	4.552460356298698946e-14	3.924582235783944050e-14	-9.546286825552684526e-14	8.869768613925152260e-14
-8.411624492609389847e+01	1.177089941935577096e-14	6.161384400524826420e-14	-1.277415345708624206e-13	1.456221599168588739e-14
-8.410577358974059337e+01	-2.758277324467955142e-14	5.526378256490275473e-14	-1.118840662530341393e-13	-6.256928742420532044e-14
-8.409530225338728826e+01	-5.441241729271513662e-14	2.811002502612680640e-14	-4.859894680948038794e-14	-1.182813278964997731e-13
-8.408483091703399737e+01	-6.081231896254417806e-14	-1.135455617607148882e-14	2.895735007163570887e-14	-1.237547775181497119e-13
-8.407435958068069226e+01	-4.184470132844167065e-14	-4.587521242337726794e-14	9.995295277261600429e-14	-8.027567458122616030e-14
-8.406388824432738716e+01	-7.630643920234779761e-15	-6.140566251624457275e-14	1.245027481527451652e-13	-8.942832943003015649e-15
-8.405341690797408205e+01	3.031977862679698575e-14	-5.472274765040266778e-14	1.098824456689758859e-13	6.716486367020120794e-14
-8.404294557162077695e+01	5.646298087732321167e-14	-2.734059873826708362e-14	4.957451167597884060e-14	1.189666549562890275e-13
-8.403247423526747184e+01	6.077777321709675300e-14	1.202672668014302945e-14	-2.485813197526158029e-14	1.239802258983461115e-13
-8.402200289891416674e+01	4.487573731602666329e-14	4.380064061437325869e-14	-9.401331656639841059e-14	8.938136996266957427e-14
-8.401153156256086163e+01	8.659273326122124844e-15	6.132094859877148214e-14	-1.249847080220124243e-13	1.783470992960897808e-14
-8.400106022620755652e+01	-2.719029785701596528e-14	5.586882710560295639e-14	-1.169629881396787973e-13	-5.418929069842047218e-14
-8.399058888985425142e+01	-5.515174255427153098e-14	3.195585432236562858e-14	-6.243021438513710760e-14	-1.095819781332554023e-13
-8.398011755350094631e+01	-6.318811490407751659e-14	-6.216289292039087123e-15	7.643825118150149866e-15	-1.268828730179485087e-13
-8.396964621714764121e+01	-4.845667412713837257e-14	-3.854192786846921294e-14	7.868243571014197350e-14	-1.004576842067410269e-13
-8.395917488079433610e+01	-1.835570506370293866e-14	-5.991057923180870530e-14	1.168963432945075445e-13	-4.049400732955351336e-14
-8.394870354444103100e+01	1.873716801966315273e-14	-5.954768409116621544e-14	1.232738090369382828e-13	3.114847294210765227e-14
-8.393823220808772589e+01	4.942784873186816593e-14	-4.183301652872047524e-14	8.374047778357167572e-14	9.326945395762882954e-14
-8.392776087173442079e+01	6.433304998406736565e-14	-8.659411055899354126e-15	2.315435455131231865e-14	1.236440688409523982e-13
-8.391728953538111568e+01	5.810198959744529738e-14	2.492854441609026433e-14	-5.069876816387293666e-14	1.178064784393690643e-13
-8.390681819902781058e+01	3.377519159495046682e-14	5.256432279896562986e-14	-1.012382844582143241e-13	7.062619190143953112e-14
-8.389634686267450547e+01	8.084869299821275767e-16	6.283505929164403506e-14	-1.290307439409417063e-13	7.851061561983476297e-15
-8.388587552632121458e+01	-3.257425577501551697e-14	5.429987244855672739e-14	-1.079482166879641213e-13	-5.855337980281290536e-14
-8.387540418996790947e+01	-5.390143450453368449e-14	2.833863681846758238e-14	-6.408264472572102782e-14	-1.086105130566040071e-13
-8.386493285361460437e+01	-6.348136239660977138e-14	-6.732710247677094595e-15	2.656056140975067496e-15	-1.248911489420997551e-13
-8.385446151726129926e+01	-4.990815731588119560e-14	-3.879008312068337643e-14	6.400592360101051060e-14	-1.054994234669743553e-13
-8.384399018090799416e+01	-2.350116828339375726e-14	-5.759738810811029994e-14	1.108186543076020260e-13	-5.603981886393727868e-14
-8.383351884455468905e+01	9.651478065545132813e-15	-6.279617663006044267e-14	1.227049635213433478e-13	6.160017139632206994e-15
-8.382304750820138395e+01	3.908602923227468747e-14	-4.800208968570352099e-14	1.069311022956316405e-13	6.742305008403401823e-14
-8.381257617184807884e+01	5.669159503698508027e-14	-2.129742162968827704e-14	5.601938444966323166e-14	1.111495060012749371e-13
-8.380210483549477374e+01	6.220842713654087326e-14	1.004916461358233978e-14	-4.485530283490265463e-15	1.233277507892325198e-13
-8.379163349914146863e+01	5.005781505403974157e-14	4.119621492443492278e-14	-6.749385887018862531e-14	1.045714487942419913e-13
-8.378116216278816353e+01	2.080960380739885626e-14	6.094671256337869147e-14	-1.085419105532971883e-13	5.955431859507524353e-14
-8.377069082643485842e+01	-8.996072144319997828e-15	6.231018633922929194e-14	-1.236879229043469450e-13	3.001702128716693164e-16
-8.376021949008155332e+01	-3.754456122885379557e-14	5.137801691498956727e-14	-1.059252236247612312e-13	-5.968042701687499368e-14
-8.374974815372824821e+01	-5.666619856870012243e-14	2.539412540995879618e-14	-6.720906501723350213e-14	-1.038586804533310326e-13
-8.373927681737494311e+01	-5.986307118790956364e-14	-4.708312884427232211e-15	-7.273146254635293182e-15	-1.218752347782510103e-13
-8.372880548102163800e+01	-5.095519604435220092e-14	-3.458649473460148168e-14	4.715414724434891223e-14	-1.115525872038603475e-13
-8.371833414466833290e+01	-2.961217991194080601e-14	-5.223329800070656193e-14	9.451591731054596965e-14	-7.729881227141574369e-14
-8.370786280831502779e+01	-4.507538132547917596e-15	-6.208158478224511791e-14	1.147014238050746434e-13	-2.423633178657887000e-14
-8.369739147196172269e+01	2.844531580126458079e-14	-5.495501711046790443e-14	1.150894270708106547e-13	3.400306490726306196e-14
-8.368692013560843179e+01	4.911452527622834028e-14	-3.565084658304495310e-14	8.543361923854515764e-14	8.195811159170510647e-14
-8.367644879925512669e+01	5.980244077087619943e-14	-7.286378510106258139e-15	4.213761837313412117e-14	1.111730486971690919e-13
-8.366597746290182158e+01	5.751183151237038748e-14	2.113332102845388058e-14	-1.434983700550202500e-14	1.172533676149819375e-13
-8.365550612654851648e+01	4.348631265490371628e-14	4.492667435136296074e-14	-6.418875959563671395e-14	9.862580541628574582e-14
-8.364503479019521137e+01	1.869943657187613904e-14	5.929529575927317365e-14	-1.003422513123921718e-13	6.065258068358297611e-14
-8.363456345384190627e+01	-9.562079562460921254e-15	6.447707344933220251e-14	-1.140378223820902826e-13	1.052963674042342843e-14
-8.362409211748860116e+01	-3.395272471366138742e-14	5.222445914843933411e-14	-1.096038658334039295e-13	-3.818797099057232824e-14
-8.361362078113529606e+01	-5.183718412846122622e-14	3.601824607992978606e-14	-8.006118344676037705e-14	-7.763670937505490889e-14
-8.360314944478199095e+01	-5.712004080761258920e-14	8.994129346947811362e-15	-4.017848825999102881e-14	-1.049172287538158067e-13
-8.359267810842868585e+01	-5.201974164177773710e-14	-1.564224115663414561e-14	1.036376700235184968e-14	-1.077387851793137900e-13
-8.358220677207538074e+01	-3.802385702496730713e-14	-3.294751992495131328e-14	5.095395514617807250e-14	-9.077703116135380247e-14
-8.357173543572207564e+01	-1.635290035574719354e-14	-4.218368114264614847e-14	8.303899417736786151e-14	-6.080287709299281344e-14
-8.356126409936877053e+01	7.448413208609818124e-15	-4.420085309141572114e-14	9.638230040766721466e-14	-1.550015255209356069e-14
-8.355079276301546543e+01	2.973030851301005930e-14	-3.276121048020808300e-14	9.464260826979571670e-14	2.627307655739158050e-14
-8.354032142666216032e+01	4.115938614012119265e-14	-1.171733358678384404e-14	6.341237684342325179e-14	6.588445118675294213e-14
-8.352985009030885521e+01	4.852421357953581513e-14	1.313725939324820826e-14	2.947189724278149715e-14	8.459562642941457118e-14
-8.351937875395555011e+01	3.928565848489873919e-14	3.960878203491784833e-14	-2.149117809152111259e-14	8.125935690035581856e-14
-8.350890741760224500e+01	2.342785612240779472e-14	6.517698169485231378e-14	-8.223632456689992405e-14	6.207088877268474941e-14
-8.349843608124893990e+01	1.360834158393064409e-15	8.112633190214872917e-14	-1.345788179179148110e-13	3.963681746294528230e-14
