xgrid 	 psiboa+_real 	 psiboa+_imag 	              psiexact+_real 	 psiexact+_imag 	              pgrid 	 psihatboa+_real 	 psiboa+_imag 	              psihatexact+_real 	 psihatexact+_imag 
-2.967771470426661651e+01	-6.049618368743979785e-15	2.235173047719554421e-15	1.448570579706032564e-14	1.484084008892509336e-14	-8.485970980717851830e+01	2.349150459592483368e-16	8.857490697477402448e-17	-9.405214005265782256e-14	7.466982396535587233e-14
-2.967405237136055618e+01	-6.331607817708997209e-15	8.382248158809546589e-16	-2.898253983674172385e-14	-3.251747265001323604e-14	-8.484923847082521320e+01	5.384892708038309662e-17	-1.569571337898658144e-16	3.992951830693242912e-14	1.039148459807567360e-13
-2.967039003845449585e+01	-7.144949836209747682e-15	-3.234584709095133484e-16	1.240561523882090685e-14	7.627101694291272331e-14	-8.483876713447190809e+01	-8.654966819150715635e-17	3.064670672716119624e-16	9.839761382847396237e-14	1.603168191996737495e-14
-2.966672770554843552e+01	-7.391273616990039721e-15	-1.541117490928562198e-15	3.843840367002773330e-14	-4.168083730567601471e-14	-8.482829579811860299e+01	-7.811153354050876298e-17	1.487193887749131793e-16	6.266891940787809356e-14	-9.115169506666748013e-14
-2.966306537264237164e+01	-6.963456510958381977e-15	-2.741836610006154513e-15	-1.875666805637282140e-14	7.132838849234171986e-14	-8.481782446176529788e+01	2.692439639702407834e-16	4.878724317197174600e-17	-6.694027272351523174e-14	-8.478475287281449525e-14
-2.965940303973631131e+01	-6.620365196098051004e-15	-3.774436942386505805e-15	3.386429986846894492e-14	-2.720220157901515908e-14	-8.480735312541199278e+01	6.685542537717576074e-17	-1.977724267782119082e-16	-9.163993907816002892e-14	1.985227989786154800e-14
-2.965574070683025099e+01	-6.329490415175593488e-15	-5.910182632320406392e-15	7.403710255475464012e-14	5.171920756617402004e-15	-8.479688178905868767e+01	-2.383049943684790638e-16	-7.963944491158376687e-17	-2.748474786977884319e-14	9.762719707350195964e-14
-2.965207837392419066e+01	-5.177330794543724344e-15	-7.539652470135270420e-15	-2.951710614908198247e-14	-2.302376266119278643e-14	-8.478641045270538257e+01	-1.552035750037286840e-16	1.015020582109448055e-17	8.664192860237725797e-14	5.476941372578330455e-14
-2.964841604101813033e+01	-4.977172570601598645e-15	-8.327237572816622777e-15	2.412739596524468403e-14	6.057679158306692011e-14	-8.477593911635207746e+01	-6.944656626733236015e-17	-2.272022825441528478e-16	7.169718158918511075e-14	-5.231549916244042715e-14
-2.964475370811206645e+01	-2.910759893930224158e-15	-8.856246583768267173e-15	3.486323273869250191e-14	9.312335619650868477e-15	-8.476546777999877236e+01	-2.538116415523823922e-16	2.495141780137826156e-16	-9.569375414624128428e-15	-9.110108138937936898e-14
-2.964109137520600612e+01	-2.024824232404414574e-15	-1.035084407507246007e-14	5.176363989660519977e-14	6.986230685699178584e-14	-8.475499644364546725e+01	-1.131708257404791018e-16	1.300911985475497358e-16	-9.469621095914629193e-14	-1.711211482151326578e-14
-2.963742904229994579e+01	-3.195404349802771286e-16	-9.921861261278140477e-15	-1.817840115385917412e-14	-4.253156485444393464e-14	-8.474452510729216215e+01	-1.296543933693483533e-16	-1.299229544518346979e-17	-3.957592255788487055e-14	7.389996905046031950e-14
-2.963376670939388546e+01	7.106127720886291714e-16	-9.737882848708854653e-15	4.279057075646990870e-14	4.568376863381730962e-14	-8.473405377093885704e+01	-2.901200457560762509e-16	7.766268360721198408e-17	4.183174173665909409e-14	6.644784522948072288e-14
-2.963010437648782158e+01	2.970283775174335824e-15	-9.788622174494743756e-15	5.042656629476360044e-14	-3.098602316486092183e-14	-8.472358243458555194e+01	1.532574408511538657e-16	3.590113185789961680e-18	8.550030876648183948e-14	-2.141305839660197731e-14
-2.962644204358176125e+01	4.711639877402289125e-15	-9.585169603912143045e-15	3.748326195213226859e-14	1.437227564343933899e-15	-8.471311109823224683e+01	-1.892286780323712984e-16	-5.542882565197650119e-17	9.458776649598362566e-17	-7.956231899773949979e-14
-2.962277971067570093e+01	6.370307343905916636e-15	-8.615931263777197884e-15	9.723363987664363080e-15	-2.670841199516081412e-14	-8.470263976187894173e+01	-2.092977519225805690e-16	2.784394049170577376e-16	-6.044594517212248400e-14	-3.247286864923303048e-14
-2.961911737776964060e+01	7.110251954835175759e-15	-7.391855138085266812e-15	8.016383921877483823e-14	4.383635162592734599e-14	-8.469216842552563662e+01	-3.244784421839406926e-16	6.020383407303324994e-17	-6.125112676822668013e-14	4.884069409003146263e-14
-2.961545504486357672e+01	8.570811620830964616e-15	-6.704293598219990654e-15	-6.716044351954460336e-14	-7.093428204699589561e-14	-8.468169708917234573e+01	-4.855300964518436881e-17	-3.916881453575128462e-16	3.708371895349701962e-14	6.586939686900333812e-14
-2.961179271195751639e+01	9.014570137813157705e-15	-4.927006844632304972e-15	2.969357698273600367e-14	5.880823669028766707e-14	-8.467122575281904062e+01	-2.637703054501731405e-17	1.645129763051020738e-16	5.995856402483383104e-14	-4.839290866610247762e-15
